feed_id,normalized_title,authority,country_scope,product_scope,status_bucket,incidence_priority,event_type,display_date,latest_item_date,primary_source_label,primary_source_url,source_family,source_count,source_labels,matched_keywords,raw_hit_count,notes,matched_event_id,matched_event_title,matched_case_id,matched_case_name,matched_live_case_count,matched_score,match_basis
imposing_duties_to_address_the_synthetic_opioid_supply_chain_in_the_people_s_republic_of_china,Imposing Duties to Address the Synthetic Opioid Supply Chain in the People’s Republic of China,Trade Policy,China,,current,medium,trade_policy_item,2025-02-01,2025-02-01,Imposing Duties to Address the Synthetic Opioid Supply Chain in the People’s Republic of China,https://www.whitehouse.gov/presidential-actions/2025/02/imposing-duties-to-address-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china/,USTR,1,Presidential Tariff Actions,duties,1,,ieepa_china_fentanyl_2025,China fentanyl-supply-chain tariffs,,,0,47,scored
further_amendment_to_duties_addressing_the_synthetic_opioid_supply_chain_in_the_people_s_republic_of_china_as_applied_to_low_value_imports,Further Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People’s Republic of China as Applied to Low-Value Imports,Trade Policy,China,,current,medium,trade_policy_item,2025-04-02,2025-04-02,Further Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People’s Republic of China as Applied to Low-Value Imports,https://www.whitehouse.gov/presidential-actions/2025/04/further-amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china-as-applied-to-low-value-imports/,USTR,1,Presidential Tariff Actions,duties,1,,ieepa_china_fentanyl_2025,China fentanyl-supply-chain tariffs,,,0,37,scored
import_surcharge_action,Import Surcharge Action,Import Surcharge,Global,,current,high,tariff_action,2026-02-20,2026-02-20,Imposing a Temporary Import Surcharge to Address Fundamental International Payments Problems,https://www.whitehouse.gov/presidential-actions/2026/02/imposing-a-temporary-import-surcharge-to-address-fundamental-international-payments-problems/,White House,1,Presidential Tariff Actions | Proclamations,import surcharge,2,"Imposing a Temporary Import Surcharge to Address Fundamental International Payments Problems Presidential Actions , Proclamations February 20, 2026",section122_global_surcharge_2026,Temporary import surcharge under Section 122,,,0,43,scored
imposing_duties_to_address_the_flow_of_illicit_drugs_across_our_northern_border,Imposing Duties To Address the Flow of Illicit Drugs Across Our Northern Border,Trade Policy,Global,,current,medium,trade_policy_item,2025-02-01,2025-02-01,Imposing Duties To Address the Flow of Illicit Drugs Across Our Northern Border,https://www.whitehouse.gov/presidential-actions/2025/02/imposing-duties-to-address-the-flow-of-illicit-drugs-across-our-national-border/,USTR,1,Presidential Tariff Actions,duties,1,,,,,,,,
imposing_duties_to_address_the_situation_at_our_southern_border,Imposing Duties To Address the Situation at Our Southern Border,Trade Policy,Global,,current,medium,trade_policy_item,2025-02-01,2025-02-01,Imposing Duties To Address the Situation at Our Southern Border,https://www.whitehouse.gov/presidential-actions/2025/02/imposing-duties-to-address-the-situation-at-our-southern-border/,USTR,1,Presidential Tariff Actions,duties,1,,,,,,,,
reciprocal_trade_and_tariffs,Reciprocal Trade and Tariffs,Trade Policy,Global,,current,medium,tariff_action,2025-02-13,2025-02-13,Reciprocal Trade and Tariffs,https://www.whitehouse.gov/articles/2025/02/reciprocal-trade-and-tariffs/,USTR,1,Presidential Tariff Actions,tariff | tariffs,1,,,,,,,,
amendment_to_duties_to_address_the_situation_at_our_southern_border,Amendment to Duties To Address the Situation at Our Southern Border,Trade Policy,Global,,current,medium,trade_policy_item,2025-03-02,2025-03-02,Amendment to Duties To Address the Situation at Our Southern Border,https://www.whitehouse.gov/presidential-actions/2025/03/amendment-to-duties-to-address-the-situation-at-our-southern-border/,USTR,1,Presidential Tariff Actions,duties,1,,,,,,,,
amendment_to_duties_to_address_the_flow_of_illicit_drugs_across_our_northern_border,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border,Trade Policy,Global,,current,medium,trade_policy_item,2025-03-06,2025-03-06,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border,https://www.whitehouse.gov/presidential-actions/2025/03/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border-0c3c/,USTR,1,Presidential Tariff Actions,duties,1,,,,,,,,
tariffs_work_and_president_trump_s_first_term_proves_it,Tariffs Work – and President Trump’s First Term Proves It,Trade Policy,Global,,current,medium,tariff_action,2025-04-02,2025-04-02,Tariffs Work – and President Trump’s First Term Proves It,https://www.whitehouse.gov/articles/2025/04/tariffs-work-and-president-trumps-first-term-proves-it/,USTR,1,Presidential Tariff Actions,tariff | tariffs,1,,,,,,,,
u_s_uk_reach_historic_trade_deal,U.S.-UK Reach Historic Trade Deal,Trade Policy,Global,,current,medium,trade_policy_item,2025-05-08,2025-05-08,U.S.-UK Reach Historic Trade Deal,https://www.whitehouse.gov/fact-sheets/2025/05/fact-sheet-u-s-uk-reach-historic-trade-deal/,USTR,2,Presidential Tariff Actions,trade deal,2,,,,,,,,
the_united_states_and_indonesia_reach_historic_trade_deal,The United States and Indonesia Reach Historic Trade Deal,Trade Policy,Global,,current,medium,trade_policy_item,2025-07-22,2025-07-22,The United States and Indonesia Reach Historic Trade Deal,https://www.whitehouse.gov/fact-sheets/2025/07/fact-sheet-the-united-states-and-indonesia-reach-historic-trade-deal/,USTR,1,Presidential Tariff Actions,trade deal,1,,,,,,,,
the_united_states_and_european_union_reach_massive_trade_deal,The United States and European Union Reach Massive Trade Deal,Trade Policy,European Union,,current,medium,trade_policy_item,2025-07-28,2025-07-28,The United States and European Union Reach Massive Trade Deal,https://www.whitehouse.gov/fact-sheets/2025/07/fact-sheet-the-united-states-and-european-union-reach-massive-trade-deal/,USTR,1,Presidential Tariff Actions,trade deal,1,,,,,,,,
