event_id,event_family,event_title,admin,authority,country_scope,product_scope,announced_date,effective_date,end_date,status_bucket,currently_active,historical_flag,rate_summary,legal_source_label,legal_source_url,status_source_label,status_source_url,notes
section421_china_tires_2009,section_421,China tire safeguard tariff,Obama,Section 421,China,Certain passenger vehicle and light truck tires,2009-09-11,2009-09-26,2012-09-25,expired_historical,false,true,"35% year 1, 30% year 2, 25% year 3",USTR China tire safeguard information sheet,https://www.ustr.gov/sites/default/files/Information%20on%20China%20Tires%20Safeguard.pdf,USTR China tire safeguard information sheet,https://www.ustr.gov/sites/default/files/Information%20on%20China%20Tires%20Safeguard.pdf,Three-year safeguard under Section 421; useful historical benchmark for upstream tire case studies.
section201_washers_2018,section_201,Large residential washers safeguard,Trump 1,Section 201,Global,Large residential washers and covered parts,2018-01-22,2018-02-07,2023-02-07,expired_historical,false,true,Tariff-rate quota; 20% / 50% in year 1 with later scheduled reductions,USTR press release on washers safeguard,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2018/january/president-trump-approves,USTR washer modification release,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2019/december/additional-action-taken-provide-relief-us-washing-machine-manufacturers,"Initial safeguard effective February 7, 2018; later modified in 2019 but expired in 2023."
section201_solar_2018,section_201,Solar cells and modules safeguard,Trump 1,Section 201,Global,Crystalline silicon photovoltaic cells and modules,2018-01-22,2018-02-07,2022-02-06,superseded_historical,false,true,30% year 1 with annual step-down to 15% by year 4,USTR Section 201 solar page,https://ustr.gov/issue-areas/enforcement/section-201-investigations/investigation-no-ta-201-75-cspv-cells,USTR Section 201 solar page,https://ustr.gov/issue-areas/enforcement/section-201-investigations/investigation-no-ta-201-75-cspv-cells,Original four-year solar safeguard later extended by Biden in 2022.
section201_solar_extension_2022,section_201,Solar safeguard extension and rate reset,Biden,Section 201,Global (with Canada MOU carveout),Crystalline silicon photovoltaic cells and modules,2022-02-04,2022-02-07,2026-02-06,expired_historical,false,true,14.75% year 1 with annual step-down to 14.0% by year 4,USTR Section 201 solar page,https://ustr.gov/issue-areas/enforcement/section-201-investigations/investigation-no-ta-201-75-cspv-cells,USTR Section 201 investigations page,https://ustr.gov/issue-areas/enforcement/section-201-investigations,"Extension ran through February 6, 2026; Canada MOU suspended application to Canadian solar imports effective February 1, 2022."
section201_solar_bifacial_revocation_2024,section_201,Solar safeguard bifacial-module exclusion revocation,Biden,Section 201,Global,Bifacial solar modules previously excluded from safeguard,2024-06-21,2024-06-21,2026-02-06,expired_historical,false,true,Revoked exclusion; safeguard rates again applied to covered bifacial modules,USTR Section 201 investigations page,https://ustr.gov/issue-areas/enforcement/section-201-investigations,USTR Section 201 investigations page,https://ustr.gov/issue-areas/enforcement/section-201-investigations,Important 2024 scope change inside the still-running solar safeguard.
section232_steel_2018,section_232,Steel Section 232 tariffs,Trump 1,Section 232,Global (with changing country exceptions),Steel mill products and covered steel imports,2018-03-08,2018-03-23,2025-03-11,superseded_historical,false,true,25%,White House steel proclamation summary,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-steel-into-the-united-states/,White House steel proclamation summary,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-steel-into-the-united-states/,Original 2018 steel tariff later modified repeatedly and reset in 2025.
section232_aluminum_2018,section_232,Aluminum Section 232 tariffs,Trump 1,Section 232,Global (with changing country exceptions),Aluminum and covered aluminum imports,2018-03-08,2018-03-23,2025-03-11,superseded_historical,false,true,10%,White House aluminum proclamation summary,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-aluminum-into-the-united-states/,White House aluminum proclamation summary,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-aluminum-into-the-united-states/,Original 2018 aluminum tariff later modified repeatedly and reset in 2025.
section232_steel_aluminum_derivatives_2020,section_232,Steel and aluminum derivative-product expansion,Trump 1,Section 232,Global (with some country exceptions),Certain derivative steel and aluminum products,2020-01-24,2020-02-08,2025-03-11,superseded_historical,false,true,25% on derivative steel products; 10% on derivative aluminum products,White House steel proclamation summary,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-steel-into-the-united-states/,White House aluminum proclamation summary,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-aluminum-into-the-united-states/,Proclamation 9980 extension of Section 232 to specified derivative products.
section232_steel_aluminum_reset_2025,section_232,Steel and aluminum Section 232 reset to broad 25%,Trump 2,Section 232,Global,"Steel, aluminum, and covered derivatives",2025-02-10,2025-03-12,2025-06-03,superseded_historical,false,false,"25% on steel and aluminum, with many prior exemptions/quota arrangements removed",White House steel proclamation,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-steel-into-the-united-states/,White House aluminum proclamation,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-aluminum-into-the-united-states/,Short-lived reset before June 2025 increase to 50%; UK treatment remained distinct later.
section232_steel_aluminum_raise50_2025,section_232,Steel and aluminum Section 232 increase to 50%,Trump 2,Section 232,Global (UK remains 25% under separate arrangement),"Steel, aluminum, and covered derivative products",2025-06-03,2025-06-04,,active_current,true,false,50% generally; UK remains 25%,White House fact sheet on 50% steel/aluminum tariffs,https://www.whitehouse.gov/fact-sheets/2025/06/fact-sheet-president-donald-j-trump-increases-section-232-tariffs-on-steel-and-aluminum/,White House fact sheet on 50% steel/aluminum tariffs,https://www.whitehouse.gov/fact-sheets/2025/06/fact-sheet-president-donald-j-trump-increases-section-232-tariffs-on-steel-and-aluminum/,"Current core steel/aluminum Section 232 program as of March 27, 2026."
