feed_id,normalized_title,authority,country_scope,product_scope,status_bucket,incidence_priority,event_type,display_date,latest_item_date,source_family,source_count,source_labels,primary_source_label,primary_source_url,matched_keywords,raw_hit_count,notes
reciprocal_tariff_action,Reciprocal Tariff Action,Reciprocal Tariffs,Global,,current,high,tariff_action,2025-11-14,2025-11-14,USTR,14,Presidential Tariff Actions,Modifying the Scope of the Reciprocal Tariff With Respect to Certain Agricultural Products,https://www.whitehouse.gov/presidential-actions/2025/11/modifying-the-scope-of-the-reciprocal-tariff-with-respect-to-certain-agricultural-products/,tariff | reciprocal tariff | tariffs | duties | reciprocal tariffs | trade deal,14,
de_minimis_action,De Minimis Action,Customs / De Minimis,China,,current,high,implementation_update,2026-02-20,2026-02-20,White House,2,Presidential Tariff Actions | Executive Orders,Continuing the Suspension of Duty-Free De Minimis Treatment for All Countries,https://www.whitehouse.gov/presidential-actions/2026/02/continuing-the-suspension-of-duty-free-de-minimis-treatment-for-all-countries/,de minimis | duty,3,"Continuing the Suspension of Duty-Free De Minimis Treatment for All Countries Presidential Actions , Executive Orders February 20, 2026"
import_surcharge_action,Import Surcharge Action,Import Surcharge,Global,,current,high,tariff_action,2026-02-20,2026-02-20,White House,1,Presidential Tariff Actions | Proclamations,Imposing a Temporary Import Surcharge to Address Fundamental International Payments Problems,https://www.whitehouse.gov/presidential-actions/2026/02/imposing-a-temporary-import-surcharge-to-address-fundamental-international-payments-problems/,import surcharge,2,"Imposing a Temporary Import Surcharge to Address Fundamental International Payments Problems Presidential Actions , Proclamations February 20, 2026"
annex_ii_potential_tariff_adjustments_for_aligned_partners_annex,"Annex II, “Potential Tariff Adjustments for Aligned Partners” Annex",Trade Policy,Global,,current,medium,tariff_action,,,USTR,1,Presidential Tariff Actions,"Annex II, “Potential Tariff Adjustments for Aligned Partners” Annex",https://www.whitehouse.gov/wp-content/uploads/2025/09/ANNEX-II.pdf,tariff,1,
customs_implementation_update,Customs Implementation Update,Customs / CBP,Global,,current,medium,implementation_update,,,CBP,4,Cargo Systems Messaging Service,eCBP Broker Instruction and Training Resources,https://www.cbp.gov/trade/eCBP,cbp,4,
executive_order_related_to_trade_tariffs,Executive Order Related to Trade / Tariffs,Executive Order,Global,,current,medium,presidential_action,,,White House,1,Presidential Actions | Executive Orders | Proclamations,Executive Orders,https://www.whitehouse.gov/presidential-actions/executive-orders/,executive order,3,
imposing_duties_to_address_the_flow_of_illicit_drugs_across_our_northern_border,Imposing Duties To Address the Flow of Illicit Drugs Across Our Northern Border,Trade Policy,Global,,current,medium,trade_policy_item,2025-02-01,2025-02-01,USTR,1,Presidential Tariff Actions,Imposing Duties To Address the Flow of Illicit Drugs Across Our Northern Border,https://www.whitehouse.gov/presidential-actions/2025/02/imposing-duties-to-address-the-flow-of-illicit-drugs-across-our-national-border/,duties,1,
imposing_duties_to_address_the_situation_at_our_southern_border,Imposing Duties To Address the Situation at Our Southern Border,Trade Policy,Global,,current,medium,trade_policy_item,2025-02-01,2025-02-01,USTR,1,Presidential Tariff Actions,Imposing Duties To Address the Situation at Our Southern Border,https://www.whitehouse.gov/presidential-actions/2025/02/imposing-duties-to-address-the-situation-at-our-southern-border/,duties,1,
imposing_duties_to_address_the_synthetic_opioid_supply_chain_in_the_people_s_republic_of_china,Imposing Duties to Address the Synthetic Opioid Supply Chain in the People’s Republic of China,Trade Policy,China,,current,medium,trade_policy_item,2025-02-01,2025-02-01,USTR,1,Presidential Tariff Actions,Imposing Duties to Address the Synthetic Opioid Supply Chain in the People’s Republic of China,https://www.whitehouse.gov/presidential-actions/2025/02/imposing-duties-to-address-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china/,duties,1,
reciprocal_trade_and_tariffs,Reciprocal Trade and Tariffs,Trade Policy,Global,,current,medium,tariff_action,2025-02-13,2025-02-13,USTR,1,Presidential Tariff Actions,Reciprocal Trade and Tariffs,https://www.whitehouse.gov/articles/2025/02/reciprocal-trade-and-tariffs/,tariff | tariffs,1,
