case_id,case_name,status,series_id,series_label,source_type,role,event_date,base_date,window_start,window_end,policy_date_type,tariff_authority,notes
2018_washer_safeguard,2018 Washer Safeguard,benchmark,CUUR0000SS30021,Laundry equipment,CPI,treatment,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,benchmark consumer treatment
2018_washer_safeguard,2018 Washer Safeguard,benchmark,CUUR0000SEHL,Other household equipment and furnishings,CPI,control,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,benchmark consumer control
2018_washer_safeguard,2018 Washer Safeguard,benchmark,PCU335220335220,Major household appliance manufacturing,PPI,proxy,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,producer-side proxy
2018_washer_safeguard_robust,2018 Washer Safeguard Robustness,robustness,CUUR0000SS30021,Laundry equipment,CPI,treatment,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,robustness consumer treatment
2018_washer_safeguard_robust,2018 Washer Safeguard Robustness,robustness,CUUR0000SEHH,Window and floor coverings and other linens,CPI,control,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,robustness consumer control
2018_washer_safeguard_robust,2018 Washer Safeguard Robustness,robustness,PCU335220335220,Major household appliance manufacturing,PPI,proxy,2018-02-07,2018-01-31,2016-01-31,2019-09-30,effective,Section 201,producer-side proxy
semiconductors_2025,2025 Semiconductors Case,pair_candidate,PCU334413334413,Semiconductor and related device manufacturing,UPSTREAM,treatment,2025-01-01,2024-12-31,2024-01-31,2026-02-28,effective,2025 tariff cycle,validated producer-side semiconductor treatment
semiconductors_2025,2025 Semiconductors Case,pair_candidate,EIUIR21320,Semiconductors import price index,UPSTREAM,control,2025-01-01,2024-12-31,2024-01-31,2026-02-28,effective,2025 tariff cycle,validated import-side semiconductor control
tires_2009,2009 China Tire Safeguard,pair_candidate,WPU07120104,Passenger car pneumatic tires,UPSTREAM,treatment,2009-09-26,2009-08-31,2008-09-30,2011-09-30,effective,Section 421,validated upstream tire treatment
tires_2009,2009 China Tire Safeguard,pair_candidate,WPU07130617,Rubber products for mechanical use,UPSTREAM,control,2009-09-26,2009-08-31,2008-09-30,2011-09-30,effective,Section 421,validated upstream tire control
steel_2018,2018 Steel Section 232,pair_candidate,WPU1017,Steel mill products,UPSTREAM,treatment,2018-03-23,2018-01-31,2017-03-31,2019-09-30,effective,Section 232,validated upstream steel treatment
steel_2018,2018 Steel Section 232,pair_candidate,WPU102502,Copper and brass mill shapes,UPSTREAM,control,2018-03-23,2018-01-31,2017-03-31,2019-09-30,effective,Section 232,validated upstream metal control
aluminum_2018,2018 Aluminum Section 232,pair_candidate,WPU102501,Aluminum mill shapes,UPSTREAM,treatment,2018-03-23,2018-01-31,2017-03-31,2019-09-30,effective,Section 232,validated upstream aluminum treatment
aluminum_2018,2018 Aluminum Section 232,pair_candidate,WPU102502,Copper and brass mill shapes,UPSTREAM,control,2018-03-23,2018-01-31,2017-03-31,2019-09-30,effective,Section 232,validated upstream metal control
steel_2025_raise50_case_main,2025 Steel Section 232 Raise to 50%,benchmark,WPU1017,Steel mill products,UPSTREAM,treatment,2025-06-04,2025-05-31,2024-06-30,2026-01-31,effective,Section 232,2025 steel raise to 50 percent treatment
steel_2025_raise50_case_main,2025 Steel Section 232 Raise to 50%,benchmark,WPU102502,Copper and brass mill shapes,UPSTREAM,control,2025-06-04,2025-05-31,2024-06-30,2026-01-31,effective,Section 232,2025 steel raise to 50 percent control
copper_2025_case_main,2025 Copper Section 232,benchmark,WPU102502,Copper and brass mill shapes,UPSTREAM,treatment,2025-08-01,2025-07-31,2024-08-31,2026-02-28,effective,Section 232,2025 copper section 232 treatment
copper_2025_case_main,2025 Copper Section 232,benchmark,WPU102501,Aluminum mill shapes,UPSTREAM,control,2025-08-01,2025-07-31,2024-08-31,2026-02-28,effective,Section 232,2025 copper section 232 control
