pair_id,pair_label,reporter_id,reporter_iso3,reporter_name,partner_id,partner_iso3,partner_name,year,trade_value_usd_m,trade_weighted_applied_tariff_pct,simple_avg_mfn_pct,preference_margin_pct,ntm_penalty_points,trade_remedy_penalty_points,tariff_component,goods_score_v1,rta_in_force,agreement_id,agreement_name,goods_coverage,data_quality,tariff_source_key,trade_source_key,ntm_source_key,score_method,score_status,notes
AUS__USA,Australia imports from United States,AUS,AUS,Australia,USA,USA,United States,2025,72000.0,0.4,2.5,2.1,2.0,0.0,98.4,96.4,yes,AUSFTA,Australia-United States Free Trade Agreement,substantially_all_goods,seed_estimate,WTO_TTD,UN_COMTRADE,WTO_ITIP,v1 = clamp(100 - 4*trade_weighted_applied_tariff_pct - ntm_penalty_points - trade_remedy_penalty_points),built,Illustrative reverse-direction AUSFTA pair.
CAN__AUS,Canada imports from Australia,CAN,CAN,Canada,AUS,AUS,Australia,2025,11000.0,0.6,6.1,5.5,2.0,0.0,97.6,95.6,yes,CPTPP,Comprehensive and Progressive Agreement for Trans-Pacific Partnership,substantially_all_goods,seed_estimate,WTO_TTD,UN_COMTRADE,WTO_ITIP,v1 = clamp(100 - 4*trade_weighted_applied_tariff_pct - ntm_penalty_points - trade_remedy_penalty_points),built,Illustrative CPTPP pair.
CAN__USA,Canada imports from United States,CAN,CAN,Canada,USA,USA,United States,2025,501000.0,0.2,6.1,5.9,2.0,0.0,99.2,97.2,yes,USMCA,United States-Mexico-Canada Agreement,substantially_all_goods,seed_estimate,WTO_TTD,UN_COMTRADE,WTO_ITIP,v1 = clamp(100 - 4*trade_weighted_applied_tariff_pct - ntm_penalty_points - trade_remedy_penalty_points),built,Illustrative reverse-direction USMCA pair.
KOR__USA,South Korea imports from United States,KOR,KOR,South Korea,USA,USA,United States,2025,186000.0,0.7,8.1,7.4,3.0,0.0,97.2,94.2,yes,KORUS,Korea-United States Free Trade Agreement,substantially_all_goods,seed_estimate,WTO_TTD,UN_COMTRADE,WTO_ITIP,v1 = clamp(100 - 4*trade_weighted_applied_tariff_pct - ntm_penalty_points - trade_remedy_penalty_points),built,Illustrative reverse-direction KORUS pair.
MEX__USA,Mexico imports from United States,MEX,MEX,Mexico,USA,USA,United States,2025,512000.0,0.2,7.0,6.8,3.0,0.0,99.2,96.2,yes,USMCA,United States-Mexico-Canada Agreement,substantially_all_goods,seed_estimate,WTO_TTD,UN_COMTRADE,WTO_ITIP,v1 = clamp(100 - 4*trade_weighted_applied_tariff_pct - ntm_penalty_points - trade_remedy_penalty_points),built,Illustrative reverse-direction USMCA pair.
USA__AUS,United States imports from Australia,USA,USA,United States,AUS,AUS,Australia,2025,89000.0,0.5,3.4,2.9,2.0,0.0,98.0,96.0,yes,AUSFTA,Australia-United States Free Trade Agreement,substantially_all_goods,seed_estimate,WTO_TTD,UN_COMTRADE,WTO_ITIP,v1 = clamp(100 - 4*trade_weighted_applied_tariff_pct - ntm_penalty_points - trade_remedy_penalty_points),built,Illustrative AUSFTA pair.
USA__CAN,United States imports from Canada,USA,USA,United States,CAN,CAN,Canada,2025,437000.0,0.3,3.4,3.1,2.0,0.0,98.8,96.8,yes,USMCA,United States-Mexico-Canada Agreement,substantially_all_goods,seed_estimate,WTO_TTD,UN_COMTRADE,WTO_ITIP,v1 = clamp(100 - 4*trade_weighted_applied_tariff_pct - ntm_penalty_points - trade_remedy_penalty_points),built,Illustrative low-friction USMCA pair.
USA__CHN,United States imports from China,USA,USA,United States,CHN,CHN,China,2025,427000.0,13.5,3.4,0.0,16.0,12.0,46.0,18.0,no,,,,seed_estimate,WTO_TTD,UN_COMTRADE,WTO_ITIP,v1 = clamp(100 - 4*trade_weighted_applied_tariff_pct - ntm_penalty_points - trade_remedy_penalty_points),built,Illustrative high-friction pair with tariff and remedy load.
USA__GBR,United States imports from United Kingdom,USA,USA,United States,GBR,GBR,United Kingdom,2025,148000.0,2.8,3.4,0.0,4.0,0.0,88.8,84.8,no,,,,seed_estimate,WTO_TTD,UN_COMTRADE,WTO_ITIP,v1 = clamp(100 - 4*trade_weighted_applied_tariff_pct - ntm_penalty_points - trade_remedy_penalty_points),built,Illustrative non-FTA developed partner.
USA__JPN,United States imports from Japan,USA,USA,United States,JPN,JPN,Japan,2025,225000.0,2.1,3.4,0.0,4.0,0.0,91.6,87.6,no,,,,seed_estimate,WTO_TTD,UN_COMTRADE,WTO_ITIP,v1 = clamp(100 - 4*trade_weighted_applied_tariff_pct - ntm_penalty_points - trade_remedy_penalty_points),built,Illustrative non-FTA developed partner.
USA__KOR,United States imports from South Korea,USA,USA,United States,KOR,KOR,South Korea,2025,197000.0,0.6,3.4,2.8,3.0,0.0,97.6,94.6,yes,KORUS,Korea-United States Free Trade Agreement,substantially_all_goods,seed_estimate,WTO_TTD,UN_COMTRADE,WTO_ITIP,v1 = clamp(100 - 4*trade_weighted_applied_tariff_pct - ntm_penalty_points - trade_remedy_penalty_points),built,Illustrative KORUS pair.
USA__MEX,United States imports from Mexico,USA,USA,United States,MEX,MEX,Mexico,2025,475000.0,0.4,3.4,3.0,3.0,0.0,98.4,95.4,yes,USMCA,United States-Mexico-Canada Agreement,substantially_all_goods,seed_estimate,WTO_TTD,UN_COMTRADE,WTO_ITIP,v1 = clamp(100 - 4*trade_weighted_applied_tariff_pct - ntm_penalty_points - trade_remedy_penalty_points),built,Illustrative low-friction USMCA pair.
